AmountBand,transactions,fraud_transactions,anomaly_transactions,anomaly_rate_pct,fraud_rate_pct
0–10,99821,238,107,0.10719187345348173,0.23842678394325845
10–25,49819,27,8,0.016058130432164437,0.05419619020855497
25–50,40508,28,14,0.03456107435568283,0.06912214871136566
50–100,37179,55,63,0.1694504962478819,0.14793297291481752
100–250,33828,54,43,0.12711363367624454,0.15963107484923733
250–500,13462,37,35,0.2599910860199079,0.27484771950675974
"500–1,000",6174,25,35,0.5668934240362812,0.40492387431162946
"1,000–2,500",2495,9,50,2.004008016032064,0.36072144288577157
"2,500–5,000",385,0,65,16.883116883116884,0.0
"5,000+",55,0,53,96.36363636363636,0.0
