HourOfDay,transactions,fraud_transactions,anomaly_transactions,anomaly_rate_pct,fraud_rate_pct
0.0,7647,6,5,0.06538511834706422,0.07846214201647705
1.0,4208,10,1,0.02376425855513308,0.2376425855513308
2.0,3308,48,30,0.9068923821039904,1.4510278113663846
3.0,3487,17,13,0.3728133065672498,0.48752509320332665
4.0,2204,23,16,0.7259528130671506,1.043557168784029
5.0,2988,11,23,0.7697456492637216,0.3681392235609103
6.0,4082,9,19,0.46545810877021065,0.22048015678588928
7.0,7233,23,26,0.35946356974975807,0.3179870040094014
8.0,10232,9,12,0.11727912431587179,0.08795934323690383
9.0,15767,16,28,0.17758609754550644,0.10147777002600367
10.0,16548,8,23,0.13898960599468213,0.048344210780759005
11.0,16781,53,55,0.3277516238603182,0.3158333829926703
12.0,15378,17,31,0.20158668227337756,0.11054753544023929
13.0,15323,17,18,0.1174704692292632,0.11094433204985969
14.0,16520,23,28,0.1694915254237288,0.13922518159806296
15.0,16374,26,35,0.2137535116648345,0.1587883229510199
16.0,16396,22,28,0.17077335935594046,0.1341790680653818
17.0,16130,28,15,0.09299442033477992,0.17358958462492252
18.0,16959,28,11,0.06486231499498792,0.1651040745326965
19.0,15566,19,13,0.0835153539766157,0.12206090196582296
20.0,16705,18,13,0.07782101167315175,0.10775217000897935
21.0,17629,16,12,0.0680696579499688,0.09075954393329173
22.0,15378,9,8,0.052022369618936144,0.058525165821303154
23.0,10883,17,10,0.09188642837452908,0.15620692823669946
