HourOfDay,transactions,fraud_count,fraud_rate
0.0,7647,6,0.07846214201647705
1.0,4208,10,0.2376425855513308
2.0,3308,48,1.4510278113663846
3.0,3487,17,0.48752509320332665
4.0,2204,23,1.043557168784029
5.0,2988,11,0.3681392235609103
6.0,4082,9,0.22048015678588928
7.0,7233,23,0.3179870040094014
8.0,10232,9,0.08795934323690383
9.0,15767,16,0.10147777002600367
10.0,16548,8,0.048344210780759005
11.0,16781,53,0.3158333829926703
12.0,15378,17,0.11054753544023929
13.0,15323,17,0.11094433204985969
14.0,16520,23,0.13922518159806296
15.0,16374,26,0.1587883229510199
16.0,16396,22,0.1341790680653818
17.0,16130,28,0.17358958462492252
18.0,16959,28,0.1651040745326965
19.0,15566,19,0.12206090196582296
20.0,16705,18,0.10775217000897935
21.0,17629,16,0.09075954393329173
22.0,15378,9,0.058525165821303154
23.0,10883,17,0.15620692823669946
