,Normal_mean,Fraud_mean,absolute_mean_difference
V14,0.011667983931694607,-6.835946034242057,6.8476140181737515
V3,0.01285347095834328,-6.729598957711674,6.742452428670017
V17,0.010963389701460644,-6.463285283202743,6.474248672904204
V12,0.009475752444318763,-6.10325401690444,6.112729769348759
V10,0.007663225565805395,-5.453274110501309,5.460937336067114
V7,0.010446877877581823,-5.175912109207488,5.18635898708507
V1,0.01343864232842768,-4.498280129044758,4.511718771373186
V4,-0.010439974774329844,4.472591015834153,4.483030990608483
V16,0.007845091011250983,-4.000956270761195,4.008801361772446
V11,-0.006003777751483105,3.7163466122536013,3.7223503900050843
V2,-0.009829230298994324,3.4059646818955245,3.415793912194519
V5,0.0067687911073794115,-2.957196758790482,2.9639655498978614
V9,0.0026127927645032897,-2.5221241496636746,2.524736942428178
V18,0.005119756965897251,-2.157070884519879,2.1621906414857763
V6,0.0012507494109572099,-1.432517862629184,1.4337686120401412
V8,-0.002447705169409534,0.9532545908983875,0.955702296067797
V19,-0.0013820968751123576,0.669142992671786,0.6705250895468984
V21,-0.00115029746119949,0.4665503219004803,0.4677006193616798
V20,-0.0004888872308814504,0.40504283092810434,0.4055317181589858
V27,0.0014089980496590944,0.21377375073690713,0.21236475268724803
V24,0.00039264606195942524,-0.10664298008218372,0.10703562614414314
V23,0.00035958571960008264,-0.09646415866751906,0.09682374438711915
V13,0.0007618937663728539,-0.09432409141080234,0.09508598517717519
V22,-0.00015972943728441557,0.08663875668622718,0.0867984861235116
V28,0.0004175237199840078,0.07827024722452902,0.07785272350454502
V15,0.0011661964990721029,-0.07282957384768349,0.07399577034675558
V26,6.543452392416201e-05,0.05045623023325889,0.050390795709334725
V25,-0.00030059763247830703,0.040615116657547384,0.04091571429002569
