AmountBand,fraud_transactions,fraud_amount,average_amount,median_amount,transaction_share_pct,amount_share_pct
0–10,238,449.31,1.887857142857143,1.0,50.317124735729394,0.7668532868054505
10–25,27,467.21,17.304074074074073,18.96,5.708245243128964,0.7974038506340266
25–50,28,1072.61,38.3075,39.105000000000004,5.9196617336152215,1.83066146749548
50–100,55,4867.33,88.49690909090909,99.9,11.627906976744185,8.307244460320877
100–250,54,8369.59,154.9924074074074,142.26,11.416490486257928,14.284675615307984
250–500,37,12682.69,342.7754054054054,323.77,7.822410147991543,21.64599610966731
"500–1,000",25,17445.32,697.8128,720.38,5.2854122621564485,29.774545372622153
"1,000–2,500",9,13237.33,1470.8144444444445,1389.56,1.9027484143763214,22.59261983714672
"2,500–5,000",0,0.0,,,0.0,0.0
"5,000+",0,0.0,,,0.0,0.0
