,normal_mean,fraud_mean,mean_difference,absolute_mean_difference
V14,0.01166798393169459,-6.835946034242057,-6.8476140181737515,6.8476140181737515
V3,0.012853470958343287,-6.729598957711674,-6.742452428670017,6.742452428670017
V17,0.010963389701460642,-6.463285283202743,-6.474248672904204,6.474248672904204
V12,0.009475752444318761,-6.103254016904439,-6.112729769348758,6.112729769348758
V10,0.007663225565805398,-5.453274110501309,-5.460937336067114,5.460937336067114
V7,0.010446877877581804,-5.175912109207488,-5.18635898708507,5.18635898708507
V1,0.013438642328427702,-4.498280129044758,-4.511718771373186,4.511718771373186
V4,-0.01043997477432988,4.472591015834153,4.483030990608483,4.483030990608483
V16,0.007845091011250983,-4.000956270761194,-4.008801361772445,4.008801361772445
V11,-0.0060037777514831475,3.7163466122536013,3.7223503900050843,3.7223503900050843
V2,-0.00982923029899432,3.405964681895525,3.4157939121945193,3.4157939121945193
V5,0.006768791107379398,-2.957196758790482,-2.9639655498978614,2.9639655498978614
V9,0.0026127927645032867,-2.5221241496636746,-2.524736942428178,2.524736942428178
V18,0.00511975696589725,-2.157070884519879,-2.1621906414857763,2.1621906414857763
V6,0.0012507494109571984,-1.432517862629184,-1.4337686120401412,1.4337686120401412
V8,-0.0024477051694095377,0.9532545908983874,0.9557022960677969,0.9557022960677969
V19,-0.0013820968751123576,0.6691429926717859,0.6705250895468983,0.6705250895468983
V21,-0.0011502974611994946,0.46655032190048024,0.4677006193616797,0.4677006193616797
V20,-0.0004888872308814536,0.40504283092810434,0.4055317181589858,0.4055317181589858
V27,0.0014089980496590944,0.21377375073690713,0.21236475268724803,0.21236475268724803
V24,0.00039264606195942497,-0.10664298008218374,-0.10703562614414316,0.10703562614414316
V23,0.00035958571960008356,-0.09646415866751903,-0.09682374438711912,0.09682374438711912
V13,0.0007618937663728485,-0.09432409141080232,-0.09508598517717518,0.09508598517717518
V22,-0.00015972943728442254,0.0866387566862272,0.08679848612351163,0.08679848612351163
V28,0.0004175237199840078,0.07827024722452902,0.07785272350454502,0.07785272350454502
V15,0.001166196499072091,-0.07282957384768347,-0.07399577034675557,0.07399577034675557
V26,6.543452392416105e-05,0.05045623023325889,0.050390795709334725,0.050390795709334725
V25,-0.0003005976324783042,0.04061511665754739,0.0409157142900257,0.0409157142900257
