HourOfDay,fraud_transactions,fraud_amount,average_amount,transaction_share_pct,amount_share_pct
0.0,6,1820.07,303.34499999999997,1.2684989429175475,3.106377916618807
1.0,10,1279.3200000000002,127.93200000000002,2.1141649048625792,2.1834607439762057
2.0,48,3753.16,78.19083333333333,10.14799154334038,6.405651069209998
3.0,17,233.91,13.759411764705883,3.5940803382663846,0.3992224796168857
4.0,23,1548.2,67.31304347826087,4.862579281183932,2.642367760860427
5.0,11,1416.67,128.7881818181818,2.3255813953488373,2.4178808524597217
6.0,9,1007.32,111.92444444444445,1.9027484143763214,1.719228712614601
7.0,23,2757.7799999999997,119.90347826086955,4.862579281183932,4.706800777383844
8.0,9,430.99,47.88777777777778,1.9027484143763214,0.7355858941049189
9.0,16,1255.4099999999999,78.46312499999999,3.382663847780127,2.142652700337029
10.0,8,2349.61,293.70125,1.6913319238900635,4.010162585321837
11.0,53,6570.73,123.97603773584905,11.20507399577167,11.214497556722925
12.0,17,3406.54,200.38470588235293,3.5940803382663846,5.814062441597648
13.0,17,2194.48,129.08705882352942,3.5940803382663846,3.7453967212588744
14.0,23,3641.12,158.3095652173913,4.862579281183932,6.214428433938843
15.0,26,2234.09,85.92653846153847,5.496828752642706,3.8130005108259084
16.0,22,4505.45,204.7931818181818,4.651162790697675,7.689611050360812
17.0,28,3371.9100000000003,120.42535714285715,5.9196617336152215,5.7549581943695145
18.0,28,6340.14,226.43357142857144,5.9196617336152215,10.820941438665306
19.0,19,2114.63,111.2963157894737,4.0169133192389,3.6091138988168745
20.0,18,1510.41,83.91166666666668,3.8054968287526427,2.5778702297385334
21.0,16,1029.5,64.34375,3.382663847780127,1.7570841039954845
22.0,9,1442.0,160.22222222222223,1.9027484143763214,2.461112460380271
23.0,17,2377.95,139.87941176470588,3.5940803382663846,4.058531466824733
