AmountBand,transactions,fraud_transactions,total_amount,fraud_amount,fraud_rate_pct,fraud_amount_share_pct
0–10,99821,238,388145.58,449.31000000000006,0.23842678394325845,0.7668532868054505
10–25,49819,27,836380.97,467.21,0.05419619020855497,0.7974038506340266
25–50,40508,28,1509356.57,1072.6100000000001,0.06912214871136566,1.8306614674954802
50–100,37179,55,2725488.21,4867.329999999999,0.14793297291481752,8.307244460320874
100–250,33828,54,5350032.58,8369.59,0.15963107484923733,14.284675615307984
250–500,13462,37,4703870.57,12682.69,0.27484771950675974,21.64599610966731
"500–1,000",6174,25,4281084.13,17445.32,0.40492387431162946,29.774545372622153
"1,000–2,500",2495,9,3603787.13,13237.33,0.36072144288577157,22.59261983714672
"2,500–5,000",385,0,1279775.36,0.0,0.0,0.0
"5,000+",55,0,424080.58,0.0,0.0,0.0
