feature,coefficient,absolute_coefficient
Amount,1.6243781476383954,1.6243781476383954
V14,-1.4982456253931757,1.4982456253931757
V1,1.3957278949199137,1.3957278949199137
V12,-1.255037901303291,1.255037901303291
V10,-1.21651382036435,1.21651382036435
V4,1.2052945192896487,1.2052945192896487
V5,0.8932084188642374,0.8932084188642374
V17,-0.863784453463405,0.863784453463405
V22,0.6623502153466493,0.6623502153466493
V20,-0.6508338239372435,0.6508338239372435
V8,-0.598097247750632,0.598097247750632
V9,-0.5825297693356689,0.5825297693356689
V16,-0.5727354449786405,0.5727354449786405
V11,0.5697100429455785,0.5697100429455785
V6,-0.5659873724485706,0.5659873724485706
V2,0.528221634784278,0.528221634784278
V7,-0.5193979414434009,0.5193979414434009
V19,0.38925452935971483,0.38925452935971483
V3,0.3480446158559731,0.3480446158559731
V15,-0.3394556517155819,0.3394556517155819
Time,-0.32880442323645204,0.32880442323645204
V13,-0.32590946503885104,0.32590946503885104
V18,-0.31083057052221624,0.31083057052221624
V23,0.29986528921749855,0.29986528921749855
V28,0.2079010402476981,0.2079010402476981
V21,0.20393769683998714,0.20393769683998714
V26,-0.19036987662592406,0.19036987662592406
V24,0.1834356642253013,0.1834356642253013
V25,-0.1749952942204923,0.1749952942204923
V27,-0.1335048353312019,0.1335048353312019
