feature,importance
V14,0.1711474729428956
V10,0.12166245852832873
V4,0.10897026694057871
V12,0.10833856726244441
V17,0.08800391178355889
V11,0.05931468759113809
V16,0.057041301794221407
V3,0.05278802244515431
V7,0.027822860712027997
V2,0.027630872154300424
V9,0.019504027137977595
V21,0.016479299523499674
V27,0.01308588426900578
V19,0.01243300649054877
V5,0.010694128506751792
V8,0.010512044211746176
V18,0.009885961606490634
V20,0.009515650092071904
Amount,0.008246680609899273
V1,0.007312223619437768
V26,0.007180506196555161
V13,0.007142931747477775
V15,0.00709189683446951
V28,0.006900768681788166
V6,0.006798435601441636
V22,0.005696086336863327
V23,0.005023790033634085
V24,0.004904994269976127
V25,0.004641235077965658
Time,0.004230026997750606
