hour_of_day,transactions,fraud_transactions,fraud_rate_pct,fraud_amount
0,7647,6,0.0785,1820.07
1,4208,10,0.2376,1279.32
2,3308,48,1.451,3753.16
3,3487,17,0.4875,233.91
4,2204,23,1.0436,1548.2
5,2988,11,0.3681,1416.67
6,4082,9,0.2205,1007.32
7,7233,23,0.318,2757.78
8,10232,9,0.088,430.99
9,15767,16,0.1015,1255.41
10,16548,8,0.0483,2349.61
11,16781,53,0.3158,6570.73
12,15378,17,0.1105,3406.54
13,15323,17,0.1109,2194.48
14,16520,23,0.1392,3641.12
15,16374,26,0.1588,2234.09
16,16396,22,0.1342,4505.45
17,16130,28,0.1736,3371.91
18,16959,28,0.1651,6340.14
19,15566,19,0.1221,2114.63
20,16705,18,0.1078,1510.41
21,17629,16,0.0908,1029.5
22,15378,9,0.0585,1442.0
23,10883,17,0.1562,2377.95
